Autor,WL_slug,WL_url,Rok_urodzenia,Rok_smierci,Metoda_ekstrakcji,Lat_od_smierci,Lat_do_domeny,Status_prawny,Status_kolor,Status_szczegoly,Data_domeny_publicznej,Mozliwe_do_nagrania,Tlumacz,Rok_smierci_tlumacza,Tlumaczenie_status,Liczba_utworow,Kategoria,Grupa_wiekowa,Priorytet_nagrania,Utwory_do_nagrania,Ostatnie_sprawdzenie,Zrodlo_danych,Confidence,Notatki,Status_nagrania
Julian Tuwim,julian-tuwim,https://wolnelektury.pl/autor/julian-tuwim/,1894,1953,structured_html,72,-2,✅ DOMENA PUBLICZNA,green,"Minęło 72 lat od śmierci - oryginał polski",2023,TAK ✅,,,"✅ Oryginał polski",47,📝 Wiersz,2-8 lat,⭐⭐⭐⭐⭐,"Lokomotywa, Słoń Trąbalski, Ptasie Radio",2025-11-02,WL API (structured_html),very_high (95%),,📝 Do nagrania
Kornel Makuszyński,kornel-makuszynski,https://wolnelektury.pl/autor/kornel-makuszynski/,1884,1953,structured_html,72,-2,✅ DOMENA PUBLICZNA,green,"Minęło 72 lat od śmierci - oryginał polski",2023,TAK ✅,,,"✅ Oryginał polski",12,📖 Opowieść,6-12 lat,⭐⭐⭐⭐,"O dwóch takich co ukradli księżyc, Szatan z siódmej klasy",2025-11-02,WL API (structured_html),very_high (95%),,📝 Do nagrania
Konstanty I. Gałczyński,konstanty-ildefons-galczynski,https://wolnelektury.pl/autor/konstanty-ildefons-galczynski/,1905,1953,structured_html,72,-2,✅ DOMENA PUBLICZNA,green,"Minęło 72 lat od śmierci - oryginał polski",2023,TAK ✅,,,"✅ Oryginał polski",23,🎭 Teatrzyk,4-9 lat,⭐⭐⭐⭐,"Osiołek Porfirion, Piekielny Piotruś, Zielona Gęś",2025-11-02,WL API (structured_html),very_high (95%),,📝 Do nagrania
Maria Konopnicka,maria-konopnicka,https://wolnelektury.pl/autor/maria-konopnicka/,1842,1910,structured_html,115,-45,✅ DOMENA PUBLICZNA,green,"Minęło 115 lat od śmierci - oryginał polski",1980,TAK ✅,,,"✅ Oryginał polski",34,🧚 Bajka,5-10 lat,⭐⭐⭐⭐,"O krasnoludkach i sierotce Marysi, Stefek Burczymucha",2025-11-02,WL API (structured_html),very_high (95%),,📝 Do nagrania
Stanisław Jachowicz,stanislaw-jachowicz,https://wolnelektury.pl/autor/stanislaw-jachowicz/,1796,1857,structured_html,168,-98,✅ DOMENA PUBLICZNA,green,"Minęło 168 lat od śmierci - oryginał polski",1927,TAK ✅,,,"✅ Oryginał polski",8,📝 Wiersz,3-7 lat,⭐⭐⭐,"Chory kotek, Tadeuszek",2025-11-02,WL API (structured_html),very_high (95%),,📝 Do nagrania
Ignacy Krasicki,ignacy-krasicki,https://wolnelektury.pl/autor/ignacy-krasicki/,1735,1801,structured_html,224,-154,✅ DOMENA PUBLICZNA,green,"Minęło 224 lat od śmierci - oryginał polski",1871,TAK ✅,,,"✅ Oryginał polski",42,📖 Bajka,6-12 lat,⭐⭐⭐⭐,"Przyjaciele, Lew starzec, Czapla ryby i rak",2025-11-02,WL API (structured_html),very_high (95%),,📝 Do nagrania
Hans Christian Andersen,hans-christian-andersen,https://wolnelektury.pl/autor/hans-christian-andersen/,1805,1875,structured_html,150,-80,⚠️ WYMAGA SPRAWDZENIA TŁUMACZA,orange,"Autor w domenie (150 lat), ale tłumacz wymaga weryfikacji",1945,NIE ❌,Różni tłumacze,,⚠️ Wymaga sprawdzenia,67,🧚 Bajka,4-10 lat,⭐⭐,"Brzydkie kaczątko, Calineczka, Królowa Śniegu",2025-11-02,WL API (structured_html),very_high (95%),Sprawdzić każdego tłumacza osobno!,⏸️ Wstrzymane (prawnie)
Bracia Grimm,bracia-grimm,https://wolnelektury.pl/autor/bracia-grimm/,1785,1863,structured_html,162,-92,⚠️ WYMAGA SPRAWDZENIA TŁUMACZA,orange,"Autor w domenie (162 lat), ale tłumacz wymaga weryfikacji",1933,NIE ❌,Różni tłumacze,,⚠️ Wymaga sprawdzenia,45,🧚 Bajka,4-10 lat,⭐⭐,"Królewna Śnieżka, Czerwony Kapturek, Jaś i Małgosia",2025-11-02,WL API (structured_html),very_high (95%),Sprawdzić każdego tłumacza osobno!,⏸️ Wstrzymane (prawnie)
Ezop,ezop,https://wolnelektury.pl/autor/ezop/,-620,-564,regex_pattern,2589,-2519,✅ DOMENA PUBLICZNA,green,"Minęło 2589 lat od śmierci - oryginał grecki",0,TAK ✅,Różni tłumacze (starzy),,✅ Tłumacze w domenie,89,📖 Bajka,4-10 lat,⭐⭐⭐⭐⭐,"Żółw i zając, Mrówka i konik polny, Lis i winogrona",2025-11-02,WL API (regex_pattern),medium (70%),Starożytne bajki - tłumacze z XIX wieku,📝 Do nagrania
Adam Mickiewicz,adam-mickiewicz,https://wolnelektury.pl/autor/adam-mickiewicz/,1798,1855,structured_html,170,-100,✅ DOMENA PUBLICZNA,green,"Minęło 170 lat od śmierci - oryginał polski",1925,TAK ✅,,,"✅ Oryginał polski",58,✍️ Poezja,8-12 lat,⭐⭐⭐,"Pan Twardowski (fragment), Świteź (fragment)",2025-11-02,WL API (structured_html),very_high (95%),Dla starszych dzieci (8+),📝 Do nagrania
Juliusz Słowacki,juliusz-slowacki,https://wolnelektury.pl/autor/juliusz-slowacki/,1809,1849,structured_html,176,-106,✅ DOMENA PUBLICZNA,green,"Minęło 176 lat od śmierci - oryginał polski",1919,TAK ✅,,,"✅ Oryginał polski",43,✍️ Poezja,8-12 lat,⭐⭐,"Żmija (fragment)",2025-11-02,WL API (structured_html),very_high (95%),Trudniejsze utwory - dla starszych,📝 Do nagrania
Henryk Sienkiewicz,henryk-sienkiewicz,https://wolnelektury.pl/autor/henryk-sienkiewicz/,1846,1916,structured_html,109,-39,✅ DOMENA PUBLICZNA,green,"Minęło 109 lat od śmierci - oryginał polski",1986,TAK ✅,,,"✅ Oryginał polski",67,📖 Opowieść,9-12 lat,⭐⭐⭐,"Latarnik (fragment adaptowany)",2025-11-02,WL API (structured_html),very_high (95%),Wymaga adaptacji dla dzieci,📝 Do nagrania
Bolesław Prus,boleslaw-prus,https://wolnelektury.pl/autor/boleslaw-prus/,1847,1912,structured_html,113,-43,✅ DOMENA PUBLICZNA,green,"Minęło 113 lat od śmierci - oryginał polski",1982,TAK ✅,,,"✅ Oryginał polski",52,📖 Opowieść,10-12 lat,⭐⭐,"Kamizelka",2025-11-02,WL API (structured_html),very_high (95%),Trudniejsze - dla najstarszych,📝 Do nagrania
Eliza Orzeszkowa,eliza-orzeszkowa,https://wolnelektury.pl/autor/eliza-orzeszkowa/,1841,1910,structured_html,115,-45,✅ DOMENA PUBLICZNA,green,"Minęło 115 lat od śmierci - oryginał polski",1980,TAK ✅,,,"✅ Oryginał polski",34,📖 Opowieść,10-12 lat,⭐,"Gloria victis (fragment)",2025-11-02,WL API (structured_html),very_high (95%),Bardzo trudne - tylko dla 12+,📝 Do nagrania
Władysław Bełza,wladyslaw-belza,https://wolnelektury.pl/autor/wladyslaw-belza/,1847,1913,structured_html,112,-42,✅ DOMENA PUBLICZNA,green,"Minęło 112 lat od śmierci - oryginał polski",1983,TAK ✅,,,"✅ Oryginał polski",5,📝 Wiersz,6-12 lat,⭐⭐⭐,"Katechizm polskiego dziecka",2025-11-02,WL API (structured_html),very_high (95%),Patriotyczny - szkoły zainteresowane,📝 Do nagrania
